Key,UsedInMainMenu,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
resourceHideDeer,,items,Item,New,Deer Hide,,,,,
resourceHideDeerDesc,,items,Item,New,Hide from a deer. Trader Joel pays top dollar for these.,,,,,
resourceHideBear,,items,Item,New,Bear Hide,,,,,
resourceHideBearDesc,,items,Item,New,Hide from a Bear. Trader Bob pays top dollar for these.,,,,,
resourceHideRabbit,,items,Item,New,Rabbit Hide,,,,,
resourceHideRabbitDesc,,items,Item,New,Hide from a Rabbit. Trader Bob pays top dollar for these.,,,,,
resourceHideCoyote,,items,Item,New,Coyote Hide,,,,,
resourceHideCoyoteDesc,,items,Item,New,"The hide from a coyote, ACME rocket not inclued. Trader Jen pays top dollar for these.",,,,,
resourceHideWolf,,items,Item,New,Wolf Hide,,,,,
resourceHideWolfDesc,,items,Item,New,Hide from a wolf. Trader Joel pays top dollar for these.,,,,,
resourceHideDireWolf,,items,Item,New,DireWolf Hide,,,,,
resourceHideDireWolfDesc,,items,Item,New,Hide from a dire wolf. Trader Hugh pays top dollar for these.,,,,,
resourceHideMountainLion,,items,Item,New,Mountain Lion Hide,,,,,
resourceHideMountainLionDesc,,items,Item,New,Hide from a mountain lion. Trader Jen pays top dollar for these.,,,,,
resourceHideBoar,,items,Item,New,Boar Hide,,,,,
resourceHideBoarDesc,,items,Item,New,Hide from a boar. Trader Jen pays top dollar for these.,,,,,
resourceHideSnake,,items,Item,New,Snake Hide,,,,,
resourceHideSnakeDesc,,items,Item,New,Skin from a snake. Trader Rekt pays top dollar for these.,,,,,
resourceTrophyStag,,items,Item,New,Stag Antlers,,,,,
resourceTrophyStagDesc,,items,Item,New,Antlers from a stag. Trader Joel pays top dollar for these.,,,,,
resourceTrophyDoe,,items,Item,New,Tarsal Gland,,,,,
resourceTrophyDoeDesc,,items,Item,New,This gland came from a doe. Trader Joel pays top dollar for these.,,,,,
resourceTrophyBear,,items,Item,New,Bear Claws,,,,,
resourceTrophyBearDesc,,items,Item,New,These bear claws will kill you a lot faster than the pastries. Trader Bob pays top dollar for these.,,,,,
resourceTrophyRabbit,,items,Item,New,Rabbit Foot,,,,,
resourceTrophyRabbitDesc,,items,Item,New,"This makes you feel luckier than the rabbit that it came from, at least. Trader Bob pays top dollar for these.",,,,,
resourceTrophySnake,,items,Item,New,Venom Gland,,,,,
resourceTrophySnakeDesc,,items,Item,New,The venom gland from a rattler. Trader Rekt pays top dollar for these.,,,,,
resourceTrophyCoyote,,items,Item,New,Coyote Teeth,,,,,
resourceTrophyCoyoteDesc,,items,Item,New,Fangs from a coyote. Trader Hugh pays top dollar for these.,,,,,
resourceTrophyWolf,,items,Item,New,Wolf Fangs,,,,,
resourceTrophyWolfDesc,,items,Item,New,Fangs from a wolf. Trader Hugh pays top dollar for these.,,,,,
resourceTrophyDireWolf,,items,Item,New,Dire Wolf Fangs,,,,,
resourceTrophyDireWolfDesc,,items,Item,New,Fangs from a dire wolf. Trader Hugh pays top dollar for these.,,,,,
resourceTrophyBoar,,items,Item,New,Boar Tusks,,,,,
resourceTrophyBoarDesc,,items,Item,New,Tusks from an adult boar. Trader Jen pays top dollar for these.,,,,,
resourceTrophyMountainLion,,items,Item,New,Mountain Lion Claws,,,,,
resourceTrophyMountainLionDesc,,items,Item,New,"Claws from a cougar. Not that kind, keep your pants on. Trader Jen pays top dollar for these.",,,,,
